fecha,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,VPD
2025-08-23,10.76,84.77,6.55,13.1,0.19675916699605964
2025-08-24,10.25,82.67,4.63,14.74,0.21639733963367117
2025-08-25,10.26,84.89,4.52,9.58,0.18880271791452025
2025-08-26,10.93,84.09,2.75,13.84,0.2078830083462869
2025-08-27,9.91,84.72,1.02,10.52,0.186504084412387
2025-08-28,9.82,84.37,2.4,12.55,0.1896277573934527
2025-08-29,10.52,84.62,2.51,16.79,0.19554327464802085
2025-08-30,10.64,83.62,0.16,18.97,0.2099309103397887
2025-08-31,10.94,83.75,3.95,14.36,0.2124667685713444
2025-09-01,10.5,85.22,3.01,14.14,0.1876641565332804
2025-09-02,9.91,84.19,4.48,8.72,0.19297313969632449
2025-09-03,10.67,84.47,0.34,12.53,0.19943547299361328
2025-09-04,10.12,81.8,0.01,14.08,0.22529269358949391
2025-09-05,9.62,81.72,0.0,13.96,0.21881922439834078
2025-09-06,9.55,84.19,9.7,9.29,0.18836366972426327
2025-09-07,10.48,84.3,8.33,13.48,0.19907962077182206
2025-09-08,10.08,83.16,0.64,15.42,0.20790008103145408
2025-09-09,11.13,85.31,5.68,12.51,0.19451042004267505
2025-09-10,11.04,84.89,7.43,12.39,0.1988791122255743
2025-09-11,10.77,84.31,0.92,10.84,0.2028370312573008
2025-09-12,10.62,81.11,0.02,12.97,0.24177720867423408
2025-09-13,10.68,82.47,2.22,12.55,0.22526945476906057
2025-09-14,10.7,81.46,2.16,19.21,0.23856621026557678
2025-09-15,10.28,85.35,3.72,11.64,0.18329987881603613
2025-09-16,10.64,84.69,0.19,10.83,0.19621747480477206
2025-09-17,10.82,86.01,0.89,11.91,0.1814628873815255
2025-09-18,10.9,85.84,0.92,13.34,0.1846483473668811
2025-09-19,11.11,88.67,3.05,13.63,0.14982151273418035
2025-09-20,11.02,85.98,0.46,12.19,0.18428733758261232
2025-09-21,11.69,81.62,1.18,19.39,0.25256873280112385
2025-09-22,12.03,79.87,3.72,19.21,0.28289510597956924
2025-09-23,11.57,86.52,6.86,16.31,0.18377113123638514
2025-09-24,10.65,84.53,14.09,12.73,0.1984002958323532
2025-09-25,11.07,83.31,2.09,12.76,0.22011351541802707
2025-09-26,11.18,84.36,0.23,12.25,0.20777794105794783
2025-09-27,11.35,82.52,0.0,16.95,0.2348557880842073
2025-09-28,11.15,83.24,1.42,18.42,0.22221419868316586
2025-09-29,11.24,83.29,3.64,15.88,0.22287856885381171
