fecha,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,VPD
2026-07-24,12.03,88.75,4.08,8.87,0.15810084164282945
2026-07-25,12.05,90.34,4.46,15.05,0.13593501678237396
2026-07-26,12.11,89.82,4.49,10.92,0.14381994677111512
2026-07-27,12.19,89.96,5.64,18.07,0.1425913813785925
2026-07-28,12.45,90.97,5.21,14.94,0.1304589557141796
2026-07-29,12.66,81.51,0.48,21.07,0.2708383595211592
2026-07-30,12.63,88.0,4.09,13.63,0.17542836800632
2026-07-31,12.52,88.48,3.26,11.87,0.16719968322371495
2026-08-01,12.4,87.5,2.19,14.89,0.17999861871209835
2026-08-02,12.47,89.33,5.62,12.56,0.15435517774178772
2026-08-03,12.0,88.0,3.41,12.82,0.16830766476563475
2026-08-04,12.14,91.36,7.35,10.67,0.122304754961115
2026-08-05,12.6,89.44,4.24,12.25,0.15407337780019717
2026-08-06,12.66,87.9,2.46,15.04,0.1772387317580328
2026-08-07,12.83,87.61,3.58,14.69,0.18352021930990184
2026-08-08,12.79,92.2,10.1,13.64,0.11523094863933969
2026-08-09,13.03,88.6,7.24,14.39,0.17108124500817465
2026-08-10,12.78,84.67,1.73,14.87,0.22632478310940415
2026-08-11,12.03,88.4,5.64,10.03,0.1630195344939396
2026-08-12,11.55,83.88,0.51,16.82,0.21947126348248494
2026-08-13,11.28,85.45,1.77,11.59,0.19458401964634142
2026-08-14,12.34,87.03,3.04,10.19,0.18603128897032398
2026-08-15,12.08,91.92,8.15,9.85,0.11392636644704889
2026-08-16,13.0,90.49,16.96,8.5,0.1424380128521885
2026-08-17,13.61,91.29,21.58,15.63,0.13575341828081317
2026-08-18,13.65,88.49,4.61,,0.17986165913360508
2026-08-19,12.76,89.55,5.14,,0.15407672088666818
2026-08-20,,,,,
2026-08-21,,,,,
2026-08-22,,,,,
